Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Cole Smith,71,135,67,1989-04-05 00:00:00,http://www.ufcstats.com/fighter-details/56709e66f1c6008f,Miles Johns,67.0,135.0,66.0,1994-03-30 00:00:00,http://www.ufcstats.com/fighter-details/46e0d677f91bacc0,L,W,0,0,11,57,31,65,26,75,63,104,1,6,1,2,0,0,2,2,0,1,4,42,29,62,7,15,2,3,0,0,0,0,9,53,20,53,2,4.0,7.0,7.0,0.0,0.0,4.0,5.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Brad Katona,66,135,64,1991-12-19 00:00:00,http://www.ufcstats.com/fighter-details/7b433309b0fd12aa,Hunter Azure,68.0,135.0,70.0,1992-03-02 00:00:00,http://www.ufcstats.com/fighter-details/2af2f2e26c4c0402,L,W,0,0,21,60,41,118,40,83,55,133,3,12,0,1,0,0,1,1,0,1,18,51,25,91,2,7,11,20,1,2,5,7,17,54,33,105,4,6.0,6.0,8.0,0.0,0.0,2.0,5.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Chas Skelly,71,145,72,1985-05-11 00:00:00,http://www.ufcstats.com/fighter-details/4bd6b4800070b069,Jordan Griffin,71.0,145.0,72.0,1990-02-28 00:00:00,http://www.ufcstats.com/fighter-details/ebef46976554f975,W,L,0,0,21,59,37,87,80,125,66,122,1,3,1,1,3,2,3,3,1,2,20,52,36,84,1,7,1,3,0,0,0,0,20,58,32,81,0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Louis Smolka,69,135,68,1991-07-16 00:00:00,http://www.ufcstats.com/fighter-details/d2bc285ead803db0,Ryan MacDonald,71.0,135.0,71.0,1993-03-18 00:00:00,http://www.ufcstats.com/fighter-details/35e1f9984ed64206,W,L,1,0,59,115,30,80,60,116,31,81,0,0,0,0,0,0,0,0,0,0,27,61,20,65,31,52,6,11,1,2,4,4,57,112,30,79,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Kyle Prepolec,70,170,70,1989-08-30 00:00:00,http://www.ufcstats.com/fighter-details/873626e5547b5235,Austin Hubbard,70.0,155.0,71.0,1991-12-22 00:00:00,http://www.ufcstats.com/fighter-details/d2cd7a69cc55e7ed,L,W,0,0,44,122,51,112,46,124,136,239,0,1,3,5,0,0,0,4,0,0,23,88,20,68,9,19,14,26,12,15,17,18,42,120,41,100,2,2.0,0.0,0.0,0.0,0.0,10.0,12.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Khabib Nurmagomedov,70,155,70,1988-09-20 00:00:00,http://www.ufcstats.com/fighter-details/032cc3922d871c7f,Dustin Poirier,69.0,155.0,72.0,1989-01-19 00:00:00,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,W,L,0,0,22,41,12,39,54,77,30,57,7,8,0,0,2,1,5,0,0,0,16,35,5,26,3,3,2,7,3,3,5,6,10,27,12,38,1,1.0,0.0,1.0,11.0,13.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Edson Barboza,71,155,75,1986-01-21 00:00:00,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,Paul Felder,71.0,155.0,70.0,1984-04-25 00:00:00,http://www.ufcstats.com/fighter-details/e5010b1b94ca5755,L,W,0,0,60,114,56,154,77,133,75,174,1,3,0,2,0,0,0,0,0,0,27,74,41,137,19,24,9,10,14,16,6,7,55,109,51,147,0,0.0,1.0,1.0,5.0,5.0,4.0,6.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Islam Makhachev,70,155,70,1991-10-27 00:00:00,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,Davi Ramos,66.0,155.0,70.0,1986-11-05 00:00:00,http://www.ufcstats.com/fighter-details/0052de90691d4a93,W,L,1,0,43,95,7,58,88,148,27,80,0,1,0,1,0,0,0,0,0,0,32,81,5,43,7,10,1,14,4,4,1,1,29,74,5,56,3,3.0,2.0,2.0,11.0,18.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Curtis Blaydes,76,265,80,1991-02-18 00:00:00,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,Shamil Abdurakhimov,75.0,235.0,76.0,1981-09-02 00:00:00,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,W,L,0,0,25,43,3,8,46,74,3,8,5,5,0,0,0,0,3,0,0,0,23,41,3,7,1,1,0,1,1,1,0,0,2,10,3,8,0,0.0,0.0,0.0,23.0,33.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Mairbek Taisumov,69,155,73,1988-08-08 00:00:00,http://www.ufcstats.com/fighter-details/8f5c8850b2484173,Diego Ferreira,69.0,155.0,74.0,1985-01-18 00:00:00,http://www.ufcstats.com/fighter-details/f53d4f21d1b5f2dc,L,W,0,0,51,160,109,326,51,160,112,329,0,2,0,2,0,0,0,0,0,0,40,139,77,271,5,13,25,46,6,8,7,9,51,160,107,323,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Joanne Calderwood,66,125,65,1985-12-23 00:00:00,http://www.ufcstats.com/fighter-details/12f91bfa8f1f723b,Andrea Lee,66.0,125.0,69.0,1989-02-11 00:00:00,http://www.ufcstats.com/fighter-details/05fa626cb33d15b8,W,L,0,0,101,230,61,137,158,293,104,185,2,4,3,5,0,0,1,2,0,0,40,138,13,73,16,38,26,39,45,54,22,25,94,222,57,132,7,8.0,2.0,3.0,0.0,0.0,2.0,2.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Zubaira Tukhugov,68,145,68,1991-01-15 00:00:00,http://www.ufcstats.com/fighter-details/aceffa19749c4dc0,Lerone Murphy,69.0,145.0,73.0,1991-07-22 00:00:00,http://www.ufcstats.com/fighter-details/396fe87b84ac2e1c,D,D,1,0,22,58,28,78,28,68,65,116,6,8,0,0,0,2,2,1,1,1,20,53,12,55,2,5,13,20,0,0,3,3,10,37,23,73,7,11.0,2.0,2.0,5.0,10.0,3.0,3.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Liana Jojua,64,135,62,1995-03-22 00:00:00,http://www.ufcstats.com/fighter-details/eebc23626e38f5dc,Sarah Moras,67.0,135.0,67.0,1988-04-30 00:00:00,http://www.ufcstats.com/fighter-details/539ed332b3078821,L,W,0,0,19,45,44,88,45,77,130,191,2,3,0,0,0,1,0,1,0,1,12,38,35,78,6,6,6,7,1,1,3,3,16,41,16,51,1,1.0,1.0,2.0,2.0,3.0,27.0,35.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Ottman Azaitar,68,155,71,1990-02-20 00:00:00,http://www.ufcstats.com/fighter-details/ee18ff42063174df,Teemu Packalen,73.0,155.0,75.0,1987-05-22 00:00:00,http://www.ufcstats.com/fighter-details/8f4eeaf7a0df7c1a,W,L,1,0,27,53,8,19,27,53,8,19,0,0,0,1,0,0,0,0,0,0,22,44,3,12,2,6,5,6,3,3,0,1,18,40,3,13,8,11.0,5.0,6.0,1.0,2.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Belal Muhammad,71,170,72,1988-07-09 00:00:00,http://www.ufcstats.com/fighter-details/b1b0729d27936f2f,Takashi Sato,70.0,170.0,73.0,1990-06-09 00:00:00,http://www.ufcstats.com/fighter-details/8abac218746e04ca,W,L,0,0,49,106,29,89,78,148,34,95,2,9,1,2,1,0,2,1,0,0,40,85,23,79,7,19,4,8,2,2,2,2,42,98,29,89,3,4.0,0.0,0.0,4.0,4.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Nordine Taleb,73,170,74,1981-06-10 00:00:00,http://www.ufcstats.com/fighter-details/49858bf46dabf6fb,Muslim Salikhov,71.0,170.0,70.0,1984-06-09 00:00:00,http://www.ufcstats.com/fighter-details/447f9858ae78f921,L,W,0,1,6,26,10,23,6,26,10,23,0,0,0,0,0,0,0,0,0,0,3,16,1,10,0,5,2,6,3,5,7,7,6,25,10,23,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Omari Akhmedov,72,185,73,1987-10-12 00:00:00,http://www.ufcstats.com/fighter-details/16690d100f995f8f,Zak Cummings,72.0,185.0,75.0,1984-08-02 00:00:00,http://www.ufcstats.com/fighter-details/4ba8d454f762005d,W,L,0,0,26,77,17,69,47,106,24,76,2,3,0,0,0,0,3,0,0,0,14,60,6,51,5,10,2,7,7,7,9,11,21,67,17,69,0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Don Madge,72,155,72,1990-11-12 00:00:00,http://www.ufcstats.com/fighter-details/68c7ad953455c73f,Fares Ziam,73.0,155.0,75.0,1997-03-21 00:00:00,http://www.ufcstats.com/fighter-details/1e4f273069fb9e85,W,L,0,0,21,49,10,31,72,111,70,96,3,12,0,4,0,0,2,0,0,0,11,36,6,26,6,7,1,2,4,6,3,3,8,27,8,25,3,8.0,2.0,4.0,10.0,14.0,0.0,2.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
Jacare Souza,73,185,72,1979-12-07 00:00:00,http://www.ufcstats.com/fighter-details/7a703c565ccaa18f,Jan Blachowicz,74.0,205.0,78.0,1983-02-24 00:00:00,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,L,W,0,0,20,48,71,170,56,88,105,205,0,5,0,0,0,0,0,0,0,0,8,28,38,121,3,10,13,20,9,10,20,29,18,45,59,154,2,3.0,12.0,16.0,0.0,0.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Paul Craig,75,205,76,1987-11-27 00:00:00,http://www.ufcstats.com/fighter-details/eabf206b162b3b83,Mauricio Rua,73.0,205.0,76.0,1981-11-25 00:00:00,http://www.ufcstats.com/fighter-details/140745cbbcb023ac,D,D,0,0,51,99,25,66,106,160,51,108,1,4,1,3,1,0,1,1,0,0,30,71,19,57,14,20,1,2,7,8,5,7,39,82,16,48,9,13.0,1.0,1.0,3.0,4.0,8.0,17.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Jared Gordon,69,155,68,1988-09-06 00:00:00,http://www.ufcstats.com/fighter-details/7026eca45f65377b,Charles Oliveira,70.0,155.0,74.0,1989-10-17 00:00:00,http://www.ufcstats.com/fighter-details/07225ba28ae309b6,L,W,0,1,7,18,10,16,7,18,10,16,0,0,0,1,0,0,0,0,0,0,7,16,5,9,0,2,1,3,0,0,4,4,7,18,8,14,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Andre Muniz,74,185,,1990-02-17 00:00:00,http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e,Antonio Arroyo,75.0,185.0,73.0,1989-07-01 00:00:00,http://www.ufcstats.com/fighter-details/61fb8098ccf81c7f,W,L,0,0,22,42,29,47,85,128,47,67,3,7,1,1,2,0,0,2,0,1,12,30,20,35,8,10,5,7,2,2,4,5,20,40,21,36,1,1.0,0.0,0.0,1.0,1.0,8.0,11.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Wellington Turman,72,185,72,1996-07-22 00:00:00,http://www.ufcstats.com/fighter-details/4dcfb28c011c11b2,Markus Perez,73.0,185.0,73.0,1988-06-22 00:00:00,http://www.ufcstats.com/fighter-details/2ac4628c08ec5125,W,L,0,0,48,120,49,96,59,132,56,103,2,9,0,1,0,0,0,1,0,0,35,103,33,72,8,12,13,21,5,5,3,3,23,91,26,67,19,21.0,21.0,26.0,6.0,8.0,2.0,3.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
James Krause,74,170,73,1986-06-04 00:00:00,http://www.ufcstats.com/fighter-details/8f6a18831a120817,Sergio Moraes,72.0,170.0,72.0,1982-07-23 00:00:00,http://www.ufcstats.com/fighter-details/1bcaac2d99b90fce,W,L,3,0,102,174,41,99,125,200,42,100,0,0,1,4,0,0,1,1,1,0,79,148,36,91,7,10,3,6,16,16,2,2,97,166,41,99,0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Eduardo Garagorri,69,145,70,1989-05-28 00:00:00,http://www.ufcstats.com/fighter-details/7bde387d50829adf,Ricardo Ramos,66.0,135.0,69.0,1995-08-01 00:00:00,http://www.ufcstats.com/fighter-details/1ae8f3c723aacff4,L,W,0,0,6,16,10,34,6,16,12,36,0,0,2,3,0,1,1,0,0,0,3,11,3,23,3,4,3,4,0,1,4,7,6,16,9,33,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Bobby Green,70,155,71,1986-09-09 00:00:00,http://www.ufcstats.com/fighter-details/887961364be5ceb3,Francisco Trinaldo,69.0,155.0,70.0,1978-08-24 00:00:00,http://www.ufcstats.com/fighter-details/a8283a4f415e1eb9,L,W,0,0,50,115,31,122,67,135,36,127,2,2,1,2,0,1,0,4,0,0,27,77,20,100,13,24,5,14,10,14,6,8,43,106,26,109,1,2.0,5.0,13.0,6.0,7.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Randy Brown,75,170,78,1990-07-08 00:00:00,http://www.ufcstats.com/fighter-details/c6aee362c7a7d482,Warlley Alves,71.0,170.0,72.0,1991-01-04 00:00:00,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,W,L,0,0,16,30,3,11,24,38,8,18,1,1,3,3,1,2,3,1,1,0,11,23,1,8,3,4,0,0,2,3,2,3,9,18,1,9,3,5.0,0.0,0.0,4.0,7.0,2.0,2.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Renan Barao,66,135,70,1987-01-31 00:00:00,http://www.ufcstats.com/fighter-details/2c99576fefe53c7c,Douglas Silva de Andrade,67.0,135.0,68.0,1985-06-22 00:00:00,http://www.ufcstats.com/fighter-details/3a314d9fa7c6825d,L,W,0,0,58,158,74,163,140,241,100,190,2,9,0,0,0,0,0,1,0,0,31,115,51,127,14,25,15,27,13,18,8,9,49,147,68,156,7,8.0,4.0,4.0,2.0,3.0,2.0,3.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Isabela de Padua,63,125,64,1991-09-04 00:00:00,http://www.ufcstats.com/fighter-details/e0f959f65d0406b4,Ariane Lipski,63.0,125.0,67.0,1994-01-26 00:00:00,http://www.ufcstats.com/fighter-details/6551c64fbcd1a467,L,W,0,1,15,42,31,63,90,128,175,224,2,3,0,0,1,1,2,0,0,1,15,42,27,58,0,0,4,4,0,0,0,1,6,26,18,45,0,0.0,0.0,0.0,9.0,16.0,13.0,18.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Tracy Cortez,65,125,,1993-12-10 00:00:00,http://www.ufcstats.com/fighter-details/68d4a891e5cf2029,Vanessa Melo,65.0,135.0,65.0,1988-03-27 00:00:00,http://www.ufcstats.com/fighter-details/9b7dfb3b7d99926a,W,L,0,0,79,140,40,125,155,224,76,161,2,9,0,0,0,0,0,1,0,0,53,109,32,116,16,18,7,7,10,13,1,2,46,103,32,117,12,12.0,6.0,6.0,21.0,25.0,2.0,2.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Calvin Kattar,71,145,72,1988-03-26 00:00:00,http://www.ufcstats.com/fighter-details/751de04455cfaac0,Zabit Magomedsharipov,73.0,145.0,73.0,1991-03-01 00:00:00,http://www.ufcstats.com/fighter-details/87aa9fb63d6b51a1,L,W,0,0,80,213,96,250,127,260,100,255,0,0,1,4,0,0,0,0,0,0,61,184,46,181,11,21,14,33,8,8,36,36,71,204,95,249,0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,2019-11-09,"Moscow, Moscow, Russia",11305
Greg Hardy,77,265,80,1988-07-28 00:00:00,http://www.ufcstats.com/fighter-details/85073dbd1be65ed9,Alexander Volkov,79.0,250.0,80.0,1988-10-24 00:00:00,http://www.ufcstats.com/fighter-details/279566840aa55bf2,L,W,0,0,46,135,86,152,51,140,86,152,0,2,0,0,0,0,0,0,0,0,23,92,44,101,13,29,26,32,10,14,16,19,46,135,86,152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Danny Roberts,73,170,74,1987-07-14 00:00:00,http://www.ufcstats.com/fighter-details/a6cba6bb66c1a8c9,Zelim Imadaev,72.0,170.0,76.0,1995-01-25 00:00:00,http://www.ufcstats.com/fighter-details/7f0f171414d0a287,W,L,1,0,37,61,28,71,42,68,38,84,1,8,1,1,0,0,1,0,0,0,10,34,15,54,17,17,10,12,10,10,3,5,18,40,19,58,19,21.0,9.0,11.0,0.0,0.0,0.0,2.0,2019-11-09,"Moscow, Moscow, Russia",11305
Ed Herman,73,205,77,1980-10-02 00:00:00,http://www.ufcstats.com/fighter-details/06f36cf4bd97ec77,Khadis Ibragimov,75.0,205.0,78.0,1995-05-21 00:00:00,http://www.ufcstats.com/fighter-details/c3218c810959d279,W,L,0,0,81,140,53,102,121,183,70,124,0,4,2,4,0,0,1,0,0,0,49,103,48,95,17,19,4,6,15,18,1,1,36,79,43,91,43,59.0,10.0,11.0,2.0,2.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Anthony Rocco Martin,72,170,73,1989-12-11 00:00:00,http://www.ufcstats.com/fighter-details/5331b25a60417ffb,Ramazan Emeev,70.0,170.0,76.0,1987-05-23 00:00:00,http://www.ufcstats.com/fighter-details/abd5fb12437eda21,W,L,0,0,41,140,30,92,48,148,43,105,0,0,0,9,2,0,0,0,0,0,22,119,26,84,0,0,2,4,19,21,2,4,41,140,24,86,0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Klidson Abreu,72,205,74,1992-12-24 00:00:00,http://www.ufcstats.com/fighter-details/7279654c7674cd24,Shamil Gamzatov,74.0,205.0,,1990-08-09 00:00:00,http://www.ufcstats.com/fighter-details/0d980975001ae3d8,L,W,0,0,32,78,64,138,47,95,82,158,1,2,0,1,0,0,0,0,0,0,11,48,10,59,7,15,23,34,14,15,31,45,31,76,64,138,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Dalcha Lungiambula,68,205,76,1987-07-31 00:00:00,http://www.ufcstats.com/fighter-details/ce632027bf2a871b,Magomed Ankalaev,75.0,205.0,75.0,1992-06-02 00:00:00,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,L,W,0,1,6,26,44,67,13,33,91,123,0,2,1,3,0,0,1,0,0,0,4,23,28,45,2,3,12,16,0,0,4,6,5,25,23,44,1,1.0,4.0,5.0,0.0,0.0,17.0,18.0,2019-11-09,"Moscow, Moscow, Russia",11305
Sergey Khandozhko,73,170,74,1992-05-19 00:00:00,http://www.ufcstats.com/fighter-details/90da09db03e41748,Rustam Khabilov,68.0,155.0,73.0,1986-11-04 00:00:00,http://www.ufcstats.com/fighter-details/9b7694d064a8a0ad,L,W,0,0,25,51,12,28,188,219,56,79,0,0,4,12,0,0,1,0,0,0,12,33,6,21,0,3,3,4,13,15,3,3,23,49,8,23,2,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2019-11-09,"Moscow, Moscow, Russia",11305
Karl Roberson,73,185,74,1990-10-04 00:00:00,http://www.ufcstats.com/fighter-details/37d5b176d438d2a5,Roman Kopylov,72.0,185.0,,1991-05-04 00:00:00,http://www.ufcstats.com/fighter-details/9d83f6da776ff7d6,W,L,0,0,43,117,37,95,43,117,38,96,1,3,0,1,1,0,0,1,0,0,14,77,19,72,3,10,15,20,26,30,3,3,41,115,37,95,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
David Zawada,72,170,75,1990-08-01 00:00:00,http://www.ufcstats.com/fighter-details/3bb2dc8e87b10a46,Abubakar Nurmagomedov,71.0,170.0,,1989-11-13 00:00:00,http://www.ufcstats.com/fighter-details/029e1293e609fd74,W,L,0,0,2,11,4,9,25,34,22,34,0,0,1,1,2,0,1,0,0,0,0,7,3,8,1,3,0,0,1,1,1,1,2,11,4,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Roosevelt Roberts,73,155,74,1994-02-11 00:00:00,http://www.ufcstats.com/fighter-details/37c5366d18ed6c05,Alexander Yakovlev,75.0,155.0,74.0,1984-07-18 00:00:00,http://www.ufcstats.com/fighter-details/d06f8869449ba7bd,W,L,0,0,28,98,20,49,56,128,38,71,0,0,3,8,0,0,1,3,0,0,22,90,8,34,2,4,6,9,4,4,6,6,27,96,12,38,1,2.0,1.0,1.0,0.0,0.0,7.0,10.0,2019-11-09,"Moscow, Moscow, Russia",11305
Pannie Kianzad,67,135,66,1991-12-08 00:00:00,http://www.ufcstats.com/fighter-details/91dac5e69e28d5b5,Jessica-Rose Clark,65.0,125.0,64.0,1987-11-28 00:00:00,http://www.ufcstats.com/fighter-details/6c8072b61c276e67,W,L,0,0,98,238,65,157,103,243,71,163,0,1,0,2,0,0,0,0,0,0,71,194,37,117,14,30,6,16,13,14,22,24,93,229,65,157,5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-09,"Moscow, Moscow, Russia",11305
Davey Grant,68,135,69,1985-12-18 00:00:00,http://www.ufcstats.com/fighter-details/113df4fde64735c6,Grigorii Popov,67.0,135.0,68.0,1984-04-18 00:00:00,http://www.ufcstats.com/fighter-details/d3fa5c5955397532,W,L,0,0,30,63,35,88,34,70,57,111,6,9,0,0,0,0,1,2,1,2,8,32,16,57,12,19,14,22,10,12,5,9,27,52,25,65,0,2.0,4.0,5.0,3.0,9.0,6.0,18.0,2019-11-09,"Moscow, Moscow, Russia",11305
Nate Diaz,72,170,76,1985-04-16 00:00:00,http://www.ufcstats.com/fighter-details/8355922d564b152c,Jorge Masvidal,71.0,170.0,74.0,1984-11-12 00:00:00,http://www.ufcstats.com/fighter-details/47b9e0e7703a4868,L,W,0,2,43,104,112,179,125,194,114,184,0,2,1,1,0,0,0,0,0,0,23,74,78,136,12,21,27,35,8,9,7,8,33,91,52,92,10,13.0,20.0,25.0,0.0,0.0,40.0,62.0,2019-11-02,"New York City, New York, USA",20143
Darren Till,72,170,74,1992-12-24 00:00:00,http://www.ufcstats.com/fighter-details/9ce6d5a03af801b7,Kelvin Gastelum,69.0,185.0,71.0,1991-10-24 00:00:00,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,W,L,0,0,36,67,40,81,37,69,50,96,1,2,1,4,0,0,0,0,0,0,19,48,8,41,2,2,11,14,15,17,21,26,34,61,26,63,2,6.0,14.0,18.0,0.0,0.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
Vicente Luque,71,170,75,1991-11-27 00:00:00,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a,Stephen Thompson,72.0,170.0,75.0,1983-02-11 00:00:00,http://www.ufcstats.com/fighter-details/4a28cb716c19157a,L,W,0,1,77,175,138,242,77,175,138,242,0,0,0,0,0,0,0,0,0,0,26,107,111,212,9,18,21,23,42,50,6,7,76,172,126,227,1,3.0,3.0,3.0,0.0,0.0,9.0,12.0,2019-11-02,"New York City, New York, USA",20143
Blagoy Ivanov,71,250,73,1986-10-09 00:00:00,http://www.ufcstats.com/fighter-details/1788eee370f077b7,Derrick Lewis,75.0,260.0,79.0,1985-02-07 00:00:00,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb,L,W,0,0,20,38,31,68,61,83,32,69,3,6,1,3,1,0,1,3,0,0,12,27,21,54,7,10,8,11,1,1,2,3,12,24,9,27,8,14.0,22.0,41.0,0.0,0.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
Gregor Gillespie,67,155,71,1986-11-13 00:00:00,http://www.ufcstats.com/fighter-details/84ff027394f7e470,Kevin Lee,69.0,170.0,77.0,1992-09-04 00:00:00,http://www.ufcstats.com/fighter-details/ee9ebceabfd16fa7,L,W,0,1,9,46,21,59,9,46,21,59,0,1,0,0,0,0,0,0,0,0,8,45,19,55,0,0,2,4,1,1,0,0,9,46,20,56,0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2019-11-02,"New York City, New York, USA",20143
Johnny Walker,77,205,82,1992-03-30 00:00:00,http://www.ufcstats.com/fighter-details/c21f26bbde777573,Corey Anderson,75.0,205.0,79.0,1989-09-22 00:00:00,http://www.ufcstats.com/fighter-details/5e4eec08896c9423,L,W,0,1,1,3,22,39,1,3,26,43,0,0,1,2,0,0,0,0,0,0,0,2,21,38,0,0,1,1,1,1,0,0,1,3,5,15,0,0.0,10.0,13.0,0.0,0.0,7.0,11.0,2019-11-02,"New York City, New York, USA",20143
Makwan Amirkhani,70,145,72,1988-11-08 00:00:00,http://www.ufcstats.com/fighter-details/87a1dc546b1c5caf,Shane Burgos,71.0,145.0,75.0,1991-03-19 00:00:00,http://www.ufcstats.com/fighter-details/98d961097baaf308,L,W,0,1,22,48,105,155,23,49,161,217,3,19,0,0,1,0,1,0,0,0,21,46,61,108,1,2,41,43,0,0,3,4,21,47,39,78,0,0.0,15.0,17.0,1.0,1.0,51.0,60.0,2019-11-02,"New York City, New York, USA",20143
Edmen Shahbazyan,74,185,74,1997-11-20 00:00:00,http://www.ufcstats.com/fighter-details/4144798612ef96e5,Brad Tavares,73.0,185.0,74.0,1987-12-21 00:00:00,http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e,W,L,2,0,14,38,3,23,14,38,3,23,0,0,0,0,0,0,0,0,0,0,12,36,1,19,2,2,1,1,0,0,1,3,10,32,3,22,2,4.0,0.0,1.0,2.0,2.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
Jairzinho Rozenstruik,76,242,78,1988-03-17 00:00:00,http://www.ufcstats.com/fighter-details/2cd428e9606856fd,Andrei Arlovski,75.0,240.0,77.0,1979-02-04 00:00:00,http://www.ufcstats.com/fighter-details/3738e68d2261e60f,W,L,1,0,5,9,4,9,5,9,4,9,0,0,0,0,0,0,0,0,0,0,4,8,1,6,0,0,0,0,1,1,3,3,5,9,4,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-02,"New York City, New York, USA",20143
